Date;Natural gas Europe (€/MWh);;;;;
08-1991;9,243797455;;;;;
09-1991;9,212778;;;;;
10-1991;8,406272182;;;;;
11-1991;8,375252727;;;;;
12-1991;8,375252727;;;;;
01-1992;7,971999818;;;;;
02-1992;7,754863636;;;;;
03-1992;8,003019273;;;;;
04-1992;7,661805273;;;;;
05-1992;7,723844182;;;;;
06-1992;7,754863636;;;;;
07-1992;7,909960909;;;;;
08-1992;7,940980364;;;;;
09-1992;7,971999818;;;;;
10-1992;8,158116545;;;;;
11-1992;8,189136;;;;;
12-1992;8,189136;;;;;
01-1993;8,561369455;;;;;
02-1993;8,499330545;;;;;
03-1993;8,53035;;;;;
04-1993;8,313213818;;;;;
05-1993;8,313213818;;;;;
06-1993;8,313213818;;;;;
07-1993;8,251174909;;;;;
08-1993;8,220155455;;;;;
09-1993;8,127097091;;;;;
10-1993;8,127097091;;;;;
11-1993;8,127097091;;;;;
12-1993;8,065058182;;;;;
01-1994;7,661805273;;;;;
02-1994;7,320591273;;;;;
03-1994;7,320591273;;;;;
04-1994;7,320591273;;;;;
05-1994;7,320591273;;;;;
06-1994;7,320591273;;;;;
07-1994;7,506708;;;;;
08-1994;7,630785818;;;;;
09-1994;7,692824727;;;;;
10-1994;7,940980364;;;;;
11-1994;7,971999818;;;;;
12-1994;7,940980364;;;;;
01-1995;8,251174909;;;;;
02-1995;8,251174909;;;;;
03-1995;8,220155455;;;;;
04-1995;8,406272182;;;;;
05-1995;8,406272182;;;;;
06-1995;8,468311091;;;;;
07-1995;8,685447273;;;;;
08-1995;8,685447273;;;;;
09-1995;8,623408364;;;;;
10-1995;8,53035;;;;;
11-1995;8,53035;;;;;
12-1995;8,468311091;;;;;
01-1996;8,53035;;;;;
02-1996;8,592388909;;;;;
03-1996;8,282194364;;;;;
04-1996;9,616030909;;;;;
05-1996;8,716466727;;;;;
06-1996;8,716466727;;;;;
07-1996;8,623408364;;;;;
08-1996;8,654427818;;;;;
09-1996;8,654427818;;;;;
10-1996;9,119719636;;;;;
11-1996;9,181758545;;;;;
12-1996;9,181758545;;;;;
01-1997;8,964622364;;;;;
02-1997;8,964622364;;;;;
03-1997;8,778505636;;;;;
04-1997;8,592388909;;;;;
05-1997;8,499330545;;;;;
06-1997;8,561369455;;;;;
07-1997;8,282194364;;;;;
08-1997;8,282194364;;;;;
09-1997;8,375252727;;;;;
10-1997;8,158116545;;;;;
11-1997;8,251174909;;;;;
12-1997;8,220155455;;;;;
01-1998;8,220155455;;;;;
02-1998;8,158116545;;;;;
03-1998;8,096077636;;;;;
04-1998;7,878941455;;;;;
05-1998;7,785883091;;;;;
06-1998;7,754863636;;;;;
07-1998;7,444669091;;;;;
08-1998;7,351610727;;;;;
09-1998;7,227532909;;;;;
10-1998;6,731221636;;;;;
11-1998;6,669182727;;;;;
12-1998;6,607143818;;;;;
01-1999;6,265929818;;;;;
02-1999;6,234910364;;;;;
03-1999;6,048793636;;;;;
04-1999;5,800638;;;;;
05-1999;5,862676909;;;;;
06-1999;5,924715818;;;;;
07-1999;6,203890909;;;;;
08-1999;6,452046545;;;;;
09-1999;6,82428;;;;;
10-1999;7,661805273;;;;;
11-1999;7,785883091;;;;;
12-1999;8,251174909;;;;;
01-2000;10,42253673;;;;;
02-2000;10,73273127;;;;;
03-2000;10,88782855;;;;;
04-2000;11,41515927;;;;;
05-2000;11,01190636;;;;;
06-2000;11,16700364;;;;;
07-2000;12,283704;;;;;
08-2000;12,43880127;;;;;
09-2000;12,50084018;;;;;
10-2000;13,36938491;;;;;
11-2000;13,61754055;;;;;
12-2000;13,77263782;;;;;
01-2001;14,42404636;;;;;
02-2001;14,23792964;;;;;
03-2001;14,17589073;;;;;
04-2001;13,89671564;;;;;
05-2001;13,52448218;;;;;
06-2001;13,43142382;;;;;
07-2001;11,63229545;;;;;
08-2001;11,75637327;;;;;
09-2001;11,75637327;;;;;
10-2001;10,918848;;;;;
11-2001;10,73273127;;;;;
12-2001;10,54661455;;;;;
01-2002;9,491953091;;;;;
02-2002;9,398894727;;;;;
03-2002;9,212778;;;;;
04-2002;8,716466727;;;;;
05-2002;8,778505636;;;;;
06-2002;8,995641818;;;;;
07-2002;9,150739091;;;;;
08-2002;9,336855818;;;;;
09-2002;9,553992;;;;;
10-2002;10,17438109;;;;;
11-2002;10,36049782;;;;;
12-2002;10,42253673;;;;;
01-2003;11,19802309;;;;;
02-2003;11,38413982;;;;;
03-2003;11,601276;;;;;
04-2003;12,50084018;;;;;
05-2003;12,53185964;;;;;
06-2003;12,56287909;;;;;
07-2003;12,53185964;;;;;
08-2003;12,34574291;;;;;
09-2003;12,31472345;;;;;
10-2003;12,03554836;;;;;
11-2003;12,09758727;;;;;
12-2003;12,31472345;;;;;
01-2004;12,00452891;;;;;
02-2004;12,06656782;;;;;
03-2004;11,97350945;;;;;
04-2004;12,15962618;;;;;
05-2004;12,25268455;;;;;
06-2004;12,43880127;;;;;
07-2004;13,27632655;;;;;
08-2004;13,46244327;;;;;
09-2004;13,67957945;;;;;
10-2004;14,98239655;;;;;
11-2004;15,38564945;;;;;
12-2004;15,54074673;;;;;
01-2005;16,93662218;;;;;
02-2005;17,02968055;;;;;
03-2005;17,12273891;;;;;
04-2005;18,17740036;;;;;
05-2005;18,27045873;;;;;
06-2005;18,33249764;;;;;
07-2005;19,91448982;;;;;
08-2005;20,34876218;;;;;
09-2005;20,41080109;;;;;
10-2005;22,58216291;;;;;
11-2005;23,14051309;;;;;
12-2005;23,23357145;;;;;
01-2006;24,69148582;;;;;
02-2006;24,66046636;;;;;
03-2006;24,78454418;;;;;
04-2006;25,56003055;;;;;
05-2006;25,68410836;;;;;
06-2006;25,71512782;;;;;
07-2006;26,614692;;;;;
08-2006;27,01794491;;;;;
09-2006;27,20406164;;;;;
10-2006;27,82445073;;;;;
11-2006;27,88648964;;;;;
12-2006;27,66935345;;;;;
01-2007;26,64571145;;;;;
02-2007;26,55265309;;;;;
03-2007;25,96328345;;;;;
04-2007;24,81556364;;;;;
05-2007;24,75352473;;;;;
06-2007;24,908622;;;;;
07-2007;25,21881655;;;;;
08-2007;25,87022509;;;;;
09-2007;26,49061418;;;;;
10-2007;28,41382036;;;;;
11-2007;29,37542345;;;;;
12-2007;29,43746236;;;;;
01-2008;33,19081636;;;;;
02-2008;33,62508873;;;;;
03-2008;34,24547782;;;;;
04-2008;37,81271509;;;;;
05-2008;38,40208473;;;;;
06-2008;39,17757109;;;;;
07-2008;44,57495618;;;;;
08-2008;45,41248145;;;;;
09-2008;46,06389;;;;;
10-2008;49,41399109;;;;;
11-2008;49,04175764;;;;;
12-2008;48,08015455;;;;;
01-2009;43,08602236;;;;;
02-2009;34,24547782;;;;;
03-2009;33,81120545;;;;;
04-2009;26,39755582;;;;;
05-2009;25,09473873;;;;;
06-2009;24,66046636;;;;;
07-2009;20,68997618;;;;;
08-2009;21,46546255;;;;;
09-2009;22,11687109;;;;;
10-2009;23,57478545;;;;;
11-2009;24,226194;;;;;
12-2009;24,84658309;;;;;
01-2010;27,29712;;;;;
02-2010;27,29712;;;;;
03-2010;27,70037291;;;;;
04-2010;23,32662982;;;;;
05-2010;22,55114345;;;;;
06-2010;24,00905782;;;;;
07-2010;24,93964145;;;;;
08-2010;26,21143909;;;;;
09-2010;25,68410836;;;;;
10-2010;25,71512782;;;;;
11-2010;26,64571145;;;;;
12-2010;27,11100327;;;;;
01-2011;29,80969582;;;;;
02-2011;29,03420945;;;;;
03-2011;29,06522891;;;;;
04-2011;32,13615491;;;;;
05-2011;31,95003818;;;;;
06-2011;31,82596036;;;;;
07-2011;34,09038055;;;;;
08-2011;33,53203036;;;;;
09-2011;33,65610818;;;;;
10-2011;35,42421709;;;;;
11-2011;35,11402255;;;;;
12-2011;35,76543109;;;;;
01-2012;35,51727545;;;;;
02-2012;34,49363345;;;;;
03-2012;37,13028709;;;;;
04-2012;35,42421709;;;;;
05-2012;36,10664509;;;;;
06-2012;35,64135327;;;;;
07-2012;34,52465291;;;;;
08-2012;34,67975018;;;;;
09-2012;34,36955564;;;;;
10-2012;35,92052836;;;;;
11-2012;36,69601473;;;;;
12-2012;36,57193691;;;;;
01-2013;36,82009255;;;;;
02-2013;36,509898;;;;;
03-2013;36,82009255;;;;;
04-2013;39,95305745;;;;;
05-2013;38,12290964;;;;;
06-2013;36,97518982;;;;;
07-2013;35,98256727;;;;;
08-2013;36,10664509;;;;;
09-2013;34,89688636;;;;;
10-2013;35,26911982;;;;;
11-2013;35,42421709;;;;;
12-2013;35,82747;;;;;
01-2014;35,95154782;;;;;
02-2014;35,05198364;;;;;
03-2014;33,74916655;;;;;
04-2014;33,28387473;;;;;
05-2014;31,63984364;;;;;
06-2014;30,30600709;;;;;
07-2014;28,75503436;;;;;1,1
08-2014;28,35178145;;;;;
09-2014;28,661976;;;;;
10-2014;30,30600709;;;;;
11-2014;27,60731455;;;;;
12-2014;30,49212382;;;;;
01-2015;28,69299545;;;;;
02-2015;25,65308891;;;;;
03-2015;25,65308891;;;;;
04-2015;21,00017073;;;;;
05-2015;20,72099564;;;;;
06-2015;20,68997618;;;;;
07-2015;20,75201509;;;;;
08-2015;19,69735364;;;;;
09-2015;19,48021745;;;;;
10-2015;18,70473109;;;;;
11-2015;17,0607;;;;;
12-2015;15,78890236;;;;;
01-2016;13,64856;;;;;
02-2016;12,31472345;;;;;
03-2016;12,12860673;;;;;
04-2016;12,31472345;;;;;
05-2016;13,43142382;;;;;
06-2016;14,76526036;;;;;
07-2016;14,48608527;;;;;
08-2016;12,56287909;;;;;
09-2016;13,18326818;;;;;
10-2016;16,56438873;;;;;
11-2016;17,65006964;;;;;
12-2016;16,81254436;;;;;
01-2017;19,04594509;;;;;
02-2017;18,76677;;;;;
03-2017;15,50972727;;;;;
04-2017;15,54074673;;;;;
05-2017;15,695844;;;;;
06-2017;15,16851327;;;;;
07-2017;15,50972727;;;;;
08-2017;16,99866109;;;;;
09-2017;18,48759491;;;;;
10-2017;19,17002291;;;;;
11-2017;20,75201509;;;;;
12-2017;22,14789055;;;;;
01-2018;20,65895673;;;;;
02-2018;20,84507345;;;;;
03-2018;20,78303455;;;;;
04-2018;21,496482;;;;;
05-2018;23,23357145;;;;;
06-2018;23,10949364;;;;;
07-2018;23,57478545;;;;;
08-2018;25,06371927;;;;;
09-2018;29,53052073;;;;;
10-2018;27,26610055;;;;;
11-2018;25,65308891;;;;;
12-2018;24,75352473;;;;;
01-2019;22,520124;;;;;
02-2019;18,64269218;;;;;
03-2019;16,06807745;;;;;
04-2019;15,26157164;;;;;
05-2019;13,46244327;;;;;
06-2019;11,13598418;;;;;
07-2019;11,22904255;;;;;
08-2019;11,41515927;;;;;
09-2019;13,05919036;;;;;
10-2019;15,695844;;;;;
11-2019;15,97501909;;;;;
12-2019;14,330988;;;;;
01-2020;11,260062;;;;;
02-2020;9,026661273;;;;;
03-2020;8,437291636;;;;;
04-2020;6,576124364;;;;;
05-2020;4,901073818;;;;;
06-2020;5,428404545;;;;;
07-2020;5,583501818;;;;;
08-2020;8,871564;;;;;
09-2020;12,25268455;;;;;
10-2020;15,16851327;;;;;
11-2020;15,013416;;;;;
12-2020;18,17740036;;;;;
01-2021;22,55114345;;;;;
02-2021;19,107984;;;;;
03-2021;19,01492564;;;;;
04-2021;22,17891;;;;;
05-2021;27,638334;;;;;
06-2021;31,95003818;;;;;
07-2021;38,80533764;;;;;
08-2021;47,86301836;;;;;
09-2021;70,84843418;;;;;
10-2021;96,31540636;;;;;
11-2021;85,67573345;;;;;
12-2021;117,9669856;;;;;
01-2022;87,66097855;;;;;
02-2022;84,46597473;;;;;
03-2022;131,4914678;;;;;
04-2022;99,88264364;;;;;
05-2022;90,48374891;;;;;
06-2022;104,1012895;;;;;
07-2022;159,2228602;;;;;
08-2022;217,2602596;;;;;
09-2022;183,3249764;;;;;
10-2022;121,0379116;;;;;
11-2022;110,8014916;;;;;
12-2022;111,7941142;;;;;
01-2023;62,59725927;;;;;
02-2023;51,30617782;;;;;
03-2023;42,83786673;;;;;
04-2023;41,93830255;;;;;
05-2023;31,36066855;;;;;
06-2023;32,10513545;;;;;
07-2023;29,62357909;;;;;
08-2023;34,71076964;;;;;
09-2023;35,82747;;;;;
10-2023;45,19534527;;;;;
11-2023;44,94718964;;;;;
12-2023;35,70339218;;;;;
01-2024;29,65459855;;;;;
02-2024;25,28085545;;;;;
03-2024;26,52163364;;;;;
04-2024;28,19668418;;;;;
05-2024;31,391688;;;;;
06-2024;33,71814709;;;;;
07-2024;32,10513545;;;;;
08-2024;38,37106527;;;;;
09-2024;36,54091745;;;;;
10-2024;40,07713527;;;;;
11-2024;43,21010018;;;;;
12-2024;42,992964;;;;;
01-2025;45,47452036;;;;;
02-2025;47,58384327;;;;;
03-2025;41,06975782;;;;;
04-2025;35,95154782;;;;;
05-2025;36,168684;;;;;
06-2025;38,37106527;;;;;
07-2025;36,04460618;;;;;
08-2025;34,58669182;;;;;
09-2025;34,49363345;;;;;
10-2025;33,780186;;;;;
11-2025;32,32227164;;;;;
12-2025;29,40644291;;;;;
01-2026;36,47887855;;;;;
02-2026;34,86586691;;;;;
03-2026;55,55584309;;;;;
04-2026;47,80097945;;;;;
05-2026;50,158458;;;;;
